Player,Show,Role,Oneshot,Link
Joe Manganiello,Jocks Machina,Player,Yes,https://www.youtube.com/watch?v=-blGAjzL3yI
Paul Wight,Jocks Machina,Player,Yes,https://www.youtube.com/watch?v=-blGAjzL3yI
Mike Mearls,Jocks Machina,DM,Yes,https://www.youtube.com/watch?v=-blGAjzL3yI
Ron Mathews,Jocks Machina,Player,Yes,https://www.youtube.com/watch?v=-blGAjzL3yI
,,,,
Chris Perkins,D&D Extra Life 2017: Tortle Annihilation,DM,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
Patrick Rothfuss,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
Ed Greenwood,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
Erin Evans,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
Tom Lommel,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
Gaurav Gulati,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
John Kovalic,D&D Extra Life 2017: Tortle Annihilation,Player,Yes,https://www.youtube.com/watch?v=sj3BCY2UWGA
,,,,
Chris Perkins,"Dice, Camera, Action",DM,,https://www.youtube.com/watch?v=a1ZbgywIF6Y
Holly Conrad,"Dice, Camera, Action",Player,,https://www.youtube.com/watch?v=a1ZbgywIF6Y
Anna Prosser,"Dice, Camera, Action",Player,,https://www.youtube.com/watch?v=a1ZbgywIF6Y
Nathan Sharp,"Dice, Camera, Action",Player,,https://www.youtube.com/watch?v=a1ZbgywIF6Y
Jared Knabenbauer,"Dice, Camera, Action",Player,,https://www.youtube.com/watch?v=a1ZbgywIF6Y
Chris Trott,"Dice, Camera, Action",Guest,,
Erika Ishii,"Dice, Camera, Action",Guest,,
Mark Hulmes,"Dice, Camera, Action",Guest,,
Aram Vartian,"Dice, Camera, Action",Guest,,
Liisa Lee,"Dice, Camera, Action",Guest,,
Sam Witwer,"Dice, Camera, Action",Guest,,
Satine Phoenix,"Dice, Camera, Action",Guest,,
Joe Hills,"Dice, Camera, Action",Guest,,
Sam Sykes,"Dice, Camera, Action",Guest,,
Allie Gonino,"Dice, Camera, Action",Guest,,
Dani Hartel,"Dice, Camera, Action",Guest,,
